Date,QQQ,SPY
2022-08-15,326.2142028808594,409.8927001953125
2022-08-16,325.4501953125,410.695556640625
2022-08-17,321.7381286621094,407.7803955078125
2022-08-18,322.51190185546875,408.9656066894531
2022-08-19,316.223876953125,403.4699401855469
2022-08-22,307.8985290527344,395.0686340332031
2022-08-23,307.6439514160156,394.11285400390625
2022-08-24,308.5351867675781,395.37457275390625
2022-08-25,313.99066162109375,400.9562683105469
2022-08-26,301.1207580566406,387.38427734375
2022-08-29,298.1531066894531,384.8227844238281
2022-08-30,294.832763671875,380.5982360839844
2022-08-31,293.1187438964844,377.7022399902344
2022-09-01,293.2460632324219,378.887451171875
2022-09-02,289.10302734375,374.89227294921875
2022-09-06,287.02655029296875,373.47772216796875
2022-09-07,292.8248596191406,380.187255859375
2022-09-08,294.3430480957031,382.6722717285156
2022-09-09,300.7779846191406,388.61712646484375
2022-09-12,304.3529357910156,392.7939147949219
2022-09-13,287.6632385253906,375.7142639160156
2022-09-14,289.9453430175781,377.1478576660156
2022-09-15,285.11669921875,372.86602783203125
2022-09-16,283.37322998046875,370.021484375
2022-09-19,285.5799865722656,372.8909912109375
2022-09-20,283.3035583496094,368.6106872558594
2022-09-21,278.230712890625,362.1807556152344
2022-09-22,274.80633544921875,359.1385498046875
2022-09-23,270.3320617675781,353.1211853027344
2022-09-26,269.2134094238281,349.6278991699219
2022-09-27,269.3213806152344,348.7353820800781
2022-09-28,274.6787414550781,355.59722900390625
2022-09-29,266.76043701171875,348.1691589355469
2022-09-30,262.23712158203125,342.7852783203125
2022-10-03,268.3892517089844,351.835205078125
2022-10-04,276.8276672363281,362.73736572265625
2022-10-05,276.6804504394531,361.8928527832031
2022-10-06,274.50213623046875,358.15960693359375
2022-10-07,264.0425109863281,348.1691589355469
2022-10-10,261.403076171875,345.5107421875
2022-10-11,257.81182861328125,343.3226318359375
2022-10-12,257.7235412597656,342.1902160644531
2022-10-13,263.7677917480469,351.22100830078125
2022-10-14,255.83958435058594,343.21710205078125
2022-10-17,264.28778076171875,352.0367431640625
2022-10-18,266.3777160644531,356.1730651855469
2022-10-19,265.4063720703125,353.6490478515625
2022-10-20,264.0523376464844,350.68359375
2022-10-21,270.2437744140625,359.2056579589844
2022-10-24,273.2167663574219,363.60113525390625
2022-10-25,278.8684997558594,369.4073181152344
2022-10-26,272.70654296875,366.6241760253906
2022-10-27,267.7416076660156,364.66632080078125
2022-10-28,275.93475341796875,373.342041015625
2022-10-31,272.7262268066406,370.645263671875
2022-11-01,269.9395751953125,369.0234069824219
2022-11-02,260.686767578125,359.7623291015625
2022-11-03,255.59429931640625,356.05792236328125
2022-11-04,259.70556640625,361.1826171875
2022-11-07,262.56085205078125,364.63763427734375
